title,author,advisor,year,handle,link
Alkalmazásfejlesztés Android platformra,"Alexa, Bence","Adamkó, Attila",2016,2437/226148,https://dea.lib.unideb.hu/handle/2437/226148
Android alkalmazásfejlesztés,"Balázs, Viktor","Adamkó, Attila",2018,2437/261380,https://dea.lib.unideb.hu/handle/2437/261380
Android alkalmazásfejlesztés,"Balogh, István; Kaszab, Imre; Tarr, Bence","Adamkó, Attila",2017,2437/239660,https://dea.lib.unideb.hu/handle/2437/239660
Android alkalmazásfejlesztés,"Bugjó, Krisztián Roland","Adamkó, Attila",2020,2437/286674,https://dea.lib.unideb.hu/handle/2437/286674
Android alkalmazásfejlesztés IoT területen,"Bakos, Dávid","Adamkó, Attila",2016,2437/226190,https://dea.lib.unideb.hu/handle/2437/226190
Android alkalmazásfejlesztés SMART monitoring,"Kovács, Arnold Szilveszter","Adamkó, Attila",2018,2437/250870,https://dea.lib.unideb.hu/handle/2437/250870
Android Application Development,"Angic, Batuhan","Adamkó, Attila",2014-05-19T08:17:04Z,2437/192606,https://dea.lib.unideb.hu/handle/2437/192606
Android customizálás mesterfokon,"Sápi, Attila","Adamkó, Attila",2014-01-17T11:21:50Z,2437/178689,https://dea.lib.unideb.hu/handle/2437/178689
Android game development,"Gerisgen, Ferit","Adamkó, Attila",2016,2437/232855,https://dea.lib.unideb.hu/handle/2437/232855
Android Role-Playing Game,"Nagy, István Zoltán","Adamkó, Attila",2021,2437/307419,https://dea.lib.unideb.hu/handle/2437/307419
Android és Java EE szolgáltatás alapokon,"Orbán, István","Adamkó, Attila",2018,2437/250640,https://dea.lib.unideb.hu/handle/2437/250640
Autódiagnosztikai alkalmazás fejlesztése Android platformra,"Posta, Márió Bálint","Adamkó, Attila",2017,2437/245985,https://dea.lib.unideb.hu/handle/2437/245985
Beltéri navigációs megoldások Android operációs rendszeren,"Uszkai, Sándor","Adamkó, Attila",2017,2437/245536,https://dea.lib.unideb.hu/handle/2437/245536
Dokumentumtár alkalmazás fejlesztése,"Komló, Tibor","Adamkó, Attila",2023,2437/350457,https://dea.lib.unideb.hu/handle/2437/350457
Dokumentumtár alkalmazás fejlesztése,"Kiss-Imre, Dalma","Adamkó, Attila",2023,2437/350332,https://dea.lib.unideb.hu/handle/2437/350332
Internetes alkalmazás fejlesztése FLEX és PHP alapokon,"Forray, Mihály","Adamkó, Attila",2011-12-28T12:30:44Z,2437/120185,https://dea.lib.unideb.hu/handle/2437/120185
Keresztplatformos HTML5 alkalmazás fejlesztő eszközök,"Hajdu, Attila","Adamkó, Attila",2013-06-06T08:35:36Z,2437/170362,https://dea.lib.unideb.hu/handle/2437/170362
Korszerű alkalmazásfejlesztés mobil platformon,"Uszkai, Sándor","Adamkó, Attila",2020,2437/286906,https://dea.lib.unideb.hu/handle/2437/286906
Környezeti jellemzők vizsgálata IoT technológiák felhasználásával és alkalmazásfejlesztés,"Vasváry, Gábor","Adamkó, Attila",2020,2437/298715,https://dea.lib.unideb.hu/handle/2437/298715
Közösségi Média Alkalmazás Fejlesztése Modellvezérelt Módon,"Salagvárdi, Tibor","Adamkó, Attila",2018,2437/252071,https://dea.lib.unideb.hu/handle/2437/252071
Module Based Development on Android,"Sotaya, Yakubu","Adamkó, Attila",2013-12-03T09:09:41Z,2437/177313,https://dea.lib.unideb.hu/handle/2437/177313
Smart Campus - Android és Java EE alapokon,"Kovács-Ferenc, Norbert; Bak, Balázs; Erdei, Krisztián; Fekete, Attila; Holozsnyák, Nándor Kristóf","Adamkó, Attila",2017,2437/240398,https://dea.lib.unideb.hu/handle/2437/240398
Smart Campus - Android és Java EE alapokon,"Holozsnyák, Nándor Kristóf; Bak Balázs; Erdei Krisztián; Fekete Attila; Kovács-Ferenc Norbert","Adamkó, Attila",2017,2437/240397,https://dea.lib.unideb.hu/handle/2437/240397
Szemantikus web alkalmazás - Szakterületi Glosszárium,"Nagy, Géza","Adamkó, Attila",2010-01-25T08:25:26Z,2437/91336,https://dea.lib.unideb.hu/handle/2437/91336
Sziklamászás tematikájú Android alkalmazás fejlesztése,"Firneisz, Áron Ákos","Adamkó, Attila",2023,2437/350744,https://dea.lib.unideb.hu/handle/2437/350744
Szoftverfüggőségek kezelésére szolgáló alkalmazás tervezése és fejlesztése,"Antal, Asztrik; Vereb, György","Adamkó, Attila",2022,2437/332255,https://dea.lib.unideb.hu/handle/2437/332255
Vállalati webalkalmazás fejlesztése IoT eszközökhöz,"Pál, Marcell Kristóf; Lovas, Rita Barbara","Adamkó, Attila",2021,2437/307550,https://dea.lib.unideb.hu/handle/2437/307550
Webes alkalmazás fejlesztés JAVA-ban,"Barócsi, Norbert József","Adamkó, Attila",2020,2437/285823,https://dea.lib.unideb.hu/handle/2437/285823
Webáruház alkalmazásának fejlesztése Android operációs rendszerre,"Varga, Zsolt","Adamkó, Attila",2021,2437/307730,https://dea.lib.unideb.hu/handle/2437/307730
Étterem támogató alkalmazás,"Czinke, Márton","Adamkó, Attila",2021,2437/325810,https://dea.lib.unideb.hu/handle/2437/325810
Fitnesz alkalmazás fejlesztése Java platformon,"Fenyvesi, Mátyás","Adamkó, Attila; Kusper, Gábor",2022,2437/332303,https://dea.lib.unideb.hu/handle/2437/332303
Videokonferencia alkalmazás létrehozása WebRTC alapokon és QoS tulajdonságainak elemzése,"Balyi, Viktor","Adamkó, Attila; Mészáros, Mihály Szabolcs",2022,2437/340763,https://dea.lib.unideb.hu/handle/2437/340763
Webes kérdőív alkalmazás fejlesztése,"Rácz, András István","Adamkó, Attila; Tajti, Tibor Gábor",2023,2437/350507,https://dea.lib.unideb.hu/handle/2437/350507
A BaseQuest logikai játék elkészítése Android platformon,"Tarr, Bence","Aszalós, László",2015,2437/212543,https://dea.lib.unideb.hu/handle/2437/212543
Kétszemélyes játék fejlesztése Android operációs rendszerre,"Szűcs, Marcell","Aszalós, László",2020,2437/298574,https://dea.lib.unideb.hu/handle/2437/298574
Szakköri alkalmazás,"Harangi, Lajos","Aszalós, László",2021,2437/309009,https://dea.lib.unideb.hu/handle/2437/309009
Adatbázis alapú alkalmazás fejlesztése Borland Delphi környezetben,"Molnár, János","Bajalinov, Erik",2010-06-04T08:43:29Z,2437/97115,https://dea.lib.unideb.hu/handle/2437/97115
Adatbázis alapú alkalmazás fejlesztése Delphi rendszerben,"Rácz, Csaba","Bajalinov, Erik",2007-01-25T11:02:51Z,2437/820,https://dea.lib.unideb.hu/handle/2437/820
Adatbázis alapú alkalmazás fejlesztése Delphiben,"Lukács, Sándor","Bajalinov, Erik",2007-05-11T08:08:31Z,2437/2249,https://dea.lib.unideb.hu/handle/2437/2249
Adatbázis-alapú alkalmazás fejlesztése Delphiben,"Nagy, János","Bajalinov, Erik",2007-01-19T14:54:05Z,2437/737,https://dea.lib.unideb.hu/handle/2437/737
Adatbázis-alapú alkalmazás-fejlesztés Board Delphiben,"Nagy, Annamária","Bajalinov, Erik",2006-08-01T12:26:48Z,2437/297,https://dea.lib.unideb.hu/handle/2437/297
Adatbázis-alapú alkalmazás-fejlesztés Borland Delphiben,"Zakor, Szilárd","Bajalinov, Erik",2008-04-28T06:44:22Z,2437/4156,https://dea.lib.unideb.hu/handle/2437/4156
Adatbázis-alapú alkalmazás-fejlesztés Borland Delphiben,"Károly, Berecz","Bajalinov, Erik",2009-11-16T08:16:46Z,2437/90102,https://dea.lib.unideb.hu/handle/2437/90102
Webes Alkalmazás-fejlesztés Borland Delphiben,"Szabó, Zsolt","Bajalinov, Erik",2007-05-29T08:21:38Z,2437/2369,https://dea.lib.unideb.hu/handle/2437/2369
WebGIS alkalmazás fejlesztése talajkémiai paraméterek vízminőségének meghatározásához és vizualizációjához,"Tari, Levente","Balla, Dániel Zoltán",2025,2437/387487,https://dea.lib.unideb.hu/handle/2437/387487
Alkalmazásfejlesztés Android platformra,"Busák, Zoltán","Balla, Tibor",2017,2437/245950,https://dea.lib.unideb.hu/handle/2437/245950
Alkalmazásfejlesztés Android platformra,"Bagi, Péter","Balla, Tibor",2015,2437/220546,https://dea.lib.unideb.hu/handle/2437/220546
Android alapú alkalmazásfejlesztés a köznevelésben,"Somogyi, István","Balla, Tibor",2017,2437/246311,https://dea.lib.unideb.hu/handle/2437/246311
Crowdsourcing alkalmazás fejlesztése Android platformra,"Salagvárdi, Tibor","Balla, Tibor",2015,2437/213101,https://dea.lib.unideb.hu/handle/2437/213101
Digitális sziklamászó kalauz android platformra,"Hepp, Olivér","Balla, Tibor",2015,2437/211841,https://dea.lib.unideb.hu/handle/2437/211841
Elveszett kutya kereső alkalmazás fejlesztése Android platformra,"Turi, Lajos Gergő","Balla, Tibor",2016,2437/233071,https://dea.lib.unideb.hu/handle/2437/233071
Helymeghatározás alapú apróhirdetést támogató  alkalmazás fejlesztése Android platformra,"Pusinszky, Viktor","Balla, Tibor",2017,2437/239970,https://dea.lib.unideb.hu/handle/2437/239970
Híraggregátor portál alkalmazás fejlesztése,"Paládi, Ádám","Balla, Tibor",2018,2437/259735,https://dea.lib.unideb.hu/handle/2437/259735
Intelligens világításkapcsoló vezérlése Android alkalmazással,"Bertalan, Ádám","Balla, Tibor",2017,2437/239077,https://dea.lib.unideb.hu/handle/2437/239077
Közösségi útitárskereső rendszer megvalósítása Android platformon,"Szentpéteri, Nándor","Balla, Tibor",2015,2437/220281,https://dea.lib.unideb.hu/handle/2437/220281
Nagyvállalati környezetben történő teszt automatizálást elősegítő java alapú web alkalmazás készítése,"Varga, Zoltán","Balla, Tibor",2017,2437/245981,https://dea.lib.unideb.hu/handle/2437/245981
Optikai karakterfelismerő módszerek gyakorlati alkalmazási lehetőségei Android platformon,"Csáki, Gergő","Balla, Tibor",2014-05-08T14:00:44Z,2437/191730,https://dea.lib.unideb.hu/handle/2437/191730
Tabulatúrák interaktív vizualizációja egy közösségi alkalmazás megvalósításában,"Takács, Tamás","Balla, Tibor",2017,2437/239096,https://dea.lib.unideb.hu/handle/2437/239096
Önkéntes munkavállalást támogató alkalmazás fejlesztése Java platformon,"Kövér, Gergely István","Balla, Tibor",2016,2437/232720,https://dea.lib.unideb.hu/handle/2437/232720
RESTful szolgáltatások használata mobil és webes alkalmazásokkal,"Tóth, Dániel","Balla, Tibor; Zelei, Attila",2016,2437/227432,https://dea.lib.unideb.hu/handle/2437/227432
C++ alapú MPS feldolgozó alkalmazás,"Mátyus, Veronika","Bekéné Rácz, Anett",2011-05-02T07:25:47Z,2437/105528,https://dea.lib.unideb.hu/handle/2437/105528
Alkalmazás fejlesztése a Blue Prism folyamatmodellezés támogatásához,"Tóth, Péter","Bertók, Csanád",2021,2437/308176,https://dea.lib.unideb.hu/handle/2437/308176
Android alkalmazás fejlesztése e-sport adminisztrációs rendszerhez,"Lovas, Rita Barbara","Besenczi, Renátó",2019,2437/266309,https://dea.lib.unideb.hu/handle/2437/266309
Az ötlettől a megvalósításig - Android játékfejlesztés Unity-ben,"Szabó, Ákos","Besenczi, Renátó",2021,2437/306191,https://dea.lib.unideb.hu/handle/2437/306191
E-sport adminisztrációs asztali alkalmazás készítése Java nyelven,"Pénzes, Roland","Besenczi, Renátó",2019,2437/266438,https://dea.lib.unideb.hu/handle/2437/266438
Gaming képességeket felmérő C# alkalmazás,"Szabó, Patrik","Besenczi, Renátó",2022,2437/340122,https://dea.lib.unideb.hu/handle/2437/340122
iOS alkalmazás fejlesztése e-sport adminisztációs rendszerhez,"Magyar, Tamás","Besenczi, Renátó",2019,2437/267023,https://dea.lib.unideb.hu/handle/2437/267023
Okos étterem alkalmazás fejlesztése,"Czevár, István","Besenczi, Renátó",2020,2437/298956,https://dea.lib.unideb.hu/handle/2437/298956
Smart home mobilapplikációs rendszerek fejlesztése,"Kocsis, Kamilla Vivien","Besenczi, Renátó",2022,2437/339709,https://dea.lib.unideb.hu/handle/2437/339709
2D mobilalkalmazás fejlesztése Unity játékmotorral,"Taradáj, Valentin","Biró, Piroska",2024,2437/365921,https://dea.lib.unideb.hu/handle/2437/365921
7GeoQuiz alkalmazás fejlesztése,"Kürti, Csongor Zoltán","Biró, Piroska",2019,2437/266777,https://dea.lib.unideb.hu/handle/2437/266777
"A Facebook, mint oktatási eszköz és WLAN Facebook oktató alkalmazás","Tóth, Péter","Biró, Piroska",2012-11-22T07:51:19Z,2437/152983,https://dea.lib.unideb.hu/handle/2437/152983
Android adattitkosító alkalmazás fejlesztése,"Kátai, Patrik","Biró, Piroska",2022,2437/331998,https://dea.lib.unideb.hu/handle/2437/331998
Android alapú alkalmazásfejlesztés,"Vég, Tamás László","Biró, Piroska",2015,2437/220483,https://dea.lib.unideb.hu/handle/2437/220483
Android alkalmazás az élelmiszer-hulladék keletkezésének megelőzésére,"Udvardy, Márton László","Biró, Piroska",2021,2437/325491,https://dea.lib.unideb.hu/handle/2437/325491
